"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"10uF";;;
2;"C2, C4";"C_0805_2012Metric";2;"0.1uF";;;
3;"C3";"C_0805_2012Metric";1;"1uF";;;
4;"C5";"CP_Elec_5x5.4";1;"100uF";;;
5;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
6;"R1, R8, R9";"R_0805_2012Metric";3;"10k";;;
7;"R2";"R_0805_2012Metric";1;"0";;;
8;"SW1";"SW_Push_1P1T_XKB_TS-1187A";1;"Reset";;;
9;"SW2";"PinHeader_1x02_P2.54mm_Horizontal";1;"Flash";;;
10;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
